Origin,Destin,FltNum,DepDate,BookedLoad,analystName,TgtLoad,bookedPlf,actualbookedPlf,Variance,endOfDayTgtLoad,currentLoadFactor,currentTgtLoad,bookingToday,bookingLastHour,hardAnchorFare,strategyFare,lastSellingFare,profileFare,lastSevenAvgFare,upsell,anchorFare,OpenRBD,SellingFare,Channel,HowDetermined,RunId,MktFare_Min,AirlineCode_Min,FlightNumber_Min,MktFare_Max,AirlineCode_Max,FlightNumber_Max,criteria,fareOffset,TimeRange,startTime,endTime,Backstop,autoBackstop,StrategyReference,dlfBand,endOfDaydlfBand,ndoBand,overBookingCount,recommendedActions,allocationStatus,status,w0Flag
BOM,DEL,1127,08/16/2023,0.0,test,71.82000000000001,0.0,0.0,-38.3176,73.71000000000001,38.3176,72.420264,5,5,4764.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-5008,8545,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/16/2023,0.0,test,71.82000000000001,0.0,0.0,-38.3176,73.71000000000001,38.3176,72.420264,5,5,3510.0,3420.0,NA,NA,NA,NA,3420.0,ZB,3420.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,3500,AI,AI-677,12000,AI,AI-442,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/17/2023,6.0,test,69.92999999999999,3.1746031746031744,3.1746031746031744,-34.14299682539683,71.82000000000001,37.3176,70.530264,5,5,7624.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2398,8545,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/17/2023,6.0,test,69.92999999999999,3.1746031746031744,3.1746031746031744,-34.14299682539683,71.82000000000001,37.3176,70.530264,5,5,NA,3710.0,NA,NA,NA,NA,3710.0,Z6,3710.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4000,UK,UK-960,12000,6E,6E-993,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/18/2023,0.0,test,68.03999999999999,0.0,0.0,-36.31759999999999,69.92999999999999,36.31759999999999,68.64026399999999,5,5,4474.0,4474.0,NA,NA,NA,NA,4474.0,V9,4474.0,B2C,Unable to Match Mkt - B2C allocation at extreme value,Test12345,2500,6E,6E-6821,20000,UK,UK-960,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,Pull prices DOWN,1,Normal AU allocation,0
BOM,DEL,1127,08/18/2023,0.0,test,68.03999999999999,0.0,0.0,-36.31759999999999,69.92999999999999,36.31759999999999,68.64026399999999,5,5,4310.0,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_6_0_B_AllocationY_hardanchorfare_UpsellN,Test12345,4693,SG,SG-158,8318,UK,UK-910,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/03/2023,10.0,test,136.07999999999998,5.291005291005291,5.291005291005291,-68.2969947089947,145.53,73.588,139.08131999999998,5,5,4764.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_3_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2056,7495,UK,UK-930,MIN,-2,FR,00:00,23:59,0.0,NA,Strategy_1,3,0,2,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/03/2023,10.0,test,136.07999999999998,5.291005291005291,5.291005291005291,-68.2969947089947,145.53,73.588,139.08131999999998,5,5,4961.0,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_3_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-8191,6528,UK,UK-910,MIN,-2,FR,00:00,23:59,0.0,NA,Strategy_1,3,0,2,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/04/2023,10.0,test,128.52,5.291005291005291,5.291005291005291,-63.97939470899471,136.07999999999998,69.2704,130.921056,5,5,7624.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_3_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2326,8492,UK,UK-988,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,3,0,3,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/04/2023,10.0,test,128.52,5.291005291005291,5.291005291005291,-63.97939470899471,136.07999999999998,69.2704,130.921056,5,5,NA,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_3_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-158,8165,UK,UK-988,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,3,0,3,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/05/2023,10.0,test,120.96000000000001,5.291005291005291,5.291005291005291,-59.97939470899472,128.52,65.27040000000001,123.361056,5,5,7424.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_4_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4755,SG,SG-158,7284,AI,AI-687,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,4,0,3,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/05/2023,10.0,test,120.96000000000001,5.291005291005291,5.291005291005291,-59.97939470899472,128.52,65.27040000000001,123.361056,5,5,NA,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_4_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-158,6528,UK,UK-952,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,4,0,3,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/06/2023,10.0,test,113.39999999999999,5.291005291005291,5.291005291005291,-55.97939470899471,120.96000000000001,61.2704,115.801056,5,5,4665.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_4_0_B_AllocationY_hardanchorfare_UpsellN,Test12345,4754,6E,6E-5113,7442,UK,UK-902,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,4,0,3,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/06/2023,10.0,test,113.39999999999999,5.291005291005291,5.291005291005291,-55.97939470899471,120.96000000000001,61.2704,115.801056,5,5,4310.0,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_4_0_B_AllocationY_hardanchorfare_UpsellN,Test12345,4693,SG,SG-8191,6528,UK,UK-952,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,4,0,3,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/07/2023,10.0,test,106.785,5.291005291005291,5.291005291005291,-52.320594708994705,113.39999999999999,57.611599999999996,108.88592399999999,5,5,4814.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_5_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2398,6592,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,5,0,3,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/07/2023,10.0,test,106.785,5.291005291005291,5.291005291005291,-52.320594708994705,113.39999999999999,57.611599999999996,108.88592399999999,5,5,5360.0,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_5_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-8191,6309,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,5,0,3,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/08/2023,10.0,test,100.17,5.291005291005291,5.291005291005291,-48.820594708994705,106.785,54.111599999999996,102.270924,5,5,5675.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_5_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-825,6592,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,5,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/08/2023,10.0,test,100.17,5.291005291005291,5.291005291005291,-48.820594708994705,106.785,54.111599999999996,102.270924,5,5,NA,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_5_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-8191,6513,6E,6E-2398,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,5,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/09/2023,10.0,test,94.5,5.291005291005291,5.291005291005291,-45.661794708994705,100.17,50.952799999999996,96.300792,5,5,6225.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-825,7495,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/09/2023,10.0,test,94.5,5.291005291005291,5.291005291005291,-45.661794708994705,100.17,50.952799999999996,96.300792,5,5,NA,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-158,6309,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/10/2023,10.0,test,88.83,5.291005291005291,5.291005291005291,-42.66179470899471,94.5,47.9528,90.630792,5,5,4715.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2398,8545,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/10/2023,10.0,test,88.83,5.291005291005291,5.291005291005291,-42.66179470899471,94.5,47.9528,90.630792,5,5,4610.0,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-158,8216,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/11/2023,0.0,test,85.05,0.0,0.0,-45.635200000000005,88.83,45.635200000000005,86.250528,5,5,10373.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-993,8650,UK,UK-910,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/11/2023,0.0,test,85.05,0.0,0.0,-45.635200000000005,88.83,45.635200000000005,86.250528,5,5,NA,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-158,8318,UK,UK-910,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/12/2023,29.0,test,81.27,15.343915343915343,15.343915343915343,-28.29128465608466,85.05,43.635200000000005,82.470528,5,5,4564.0,4665.0,NA,NA,NA,NA,4564.0,V3,4564.0,B2C,Post10_6_0_B_AllocationY_hardanchorfare_UpsellN,Test12345,4754,6E,6E-5113,10120,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/12/2023,29.0,test,81.27,15.343915343915343,15.343915343915343,-28.29128465608466,85.05,43.635200000000005,82.470528,5,5,3859.0,4310.0,NA,NA,NA,NA,3859.0,Z5,3859.0,B2B,Post10_6_0_B_AllocationY_hardanchorfare_UpsellN,Test12345,4693,SG,SG-158,9757,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/13/2023,0.0,test,77.49,0.0,0.0,-41.6352,81.27,41.6352,78.690528,5,5,8875.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2398,8545,UK,UK-944,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/13/2023,0.0,test,77.49,0.0,0.0,-41.6352,81.27,41.6352,78.690528,5,5,NA,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-158,8216,UK,UK-944,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/19/2023,0.0,test,66.14999999999999,0.0,0.0,-35.31759999999999,68.03999999999999,35.31759999999999,66.75026399999999,5,5,4764.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2326,8650,UK,UK-994,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/19/2023,0.0,test,66.14999999999999,0.0,0.0,-35.31759999999999,68.03999999999999,35.31759999999999,66.75026399999999,5,5,4961.0,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-158,8318,UK,UK-994,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,NO action required,1,Normal AU allocation,0
